Date,Open,High,Low,Close,% change,Volume,TurnOver
2024-02-14,680.00,680.00,666.50,668.10,-0.58,256176.00,171764880.30
2024-02-13,692.10,692.10,672.00,672.00,-2.90,478560.00,325045072.50
2024-02-12,703.00,704.00,690.00,692.10,-0.40,331525.00,230235449.40
2024-02-11,702.70,731.00,691.00,694.90,0.86,887170.00,624785368.60
2024-02-08,698.00,709.00,688.00,689.00,-1.02,273200.00,188790252.90
2024-02-07,700.00,714.00,695.20,696.10,-1.25,354258.00,248268038.90
2024-02-06,685.50,708.00,685.50,704.90,2.83,481428.00,337602470.00
2024-02-05,690.00,700.00,685.10,685.50,-0.38,269982.00,185905014.10
2024-02-04,695.10,700.00,680.00,688.10,-1.01,486325.00,335832809.20
2024-02-01,720.00,722.10,695.00,695.10,-2.73,769799.00,540184186.50
2024-01-31,723.00,728.00,698.00,714.60,0.70,889868.00,638782691.50
2024-01-30,682.30,721.00,675.80,709.60,6.07,1070172.00,752786918.20
2024-01-29,645.00,684.00,645.00,669.00,3.88,900511.00,601671809.20
2024-01-28,650.00,659.60,635.10,645.00,-0.28,521843.00,335345887.80
2024-01-25,657.00,661.00,645.10,646.80,-1.55,439859.00,286726529.50
2024-01-24,660.00,674.00,655.00,657.00,-0.44,379833.00,251568067.70
2024-01-23,645.00,681.00,635.00,659.90,2.15,841022.00,550980785.50
2024-01-22,667.40,675.00,641.00,646.00,-5.14,1196355.00,786383492.50
2024-01-21,666.00,709.00,663.00,681.00,4.44,827738.00,567910241.90
2024-01-18,614.20,661.50,558.00,653.00,8.44,3044702.00,1844237328.50
2024-01-17,558.40,602.20,558.40,602.20,9.99,1093487.00,658490285.50
2024-01-16,507.70,547.50,507.70,547.50,9.98,70340.00,38499870.20
2024-01-14,461.60,497.80,461.60,497.80,9.99,45684.00,22731110.10
2024-01-11,419.70,452.60,419.70,452.60,9.99,37445.00,16939211.90
2024-01-10,381.50,411.50,381.50,411.50,10.00,17004.00,6988635.20
2024-01-09,346.90,374.10,346.90,374.10,10.00,10699.00,3996001.90
2024-01-08,309.20,340.10,309.20,340.10,9.99,30866.00,10404487.80
